system_id,word,ner
1,台積電,ORG
1,整年,DATE
2,金控,ORG
2,日週上午,TIME
2,葉憶如,PERSON
2,上周,DATE
2,矽谷銀行,ORG
2,巴菲特,PERSON
2,金控,ORG
2,開發金,ORG
2,萬,CARDINAL
2,三,CARDINAL
2,鴻海,ORG
2,金控,ORG
2,上周,DATE
2,萬,CARDINAL
2,中信金,ORG
2,萬,CARDINAL
2,開發金,ORG
2,千多,CARDINAL
2,玉山金,ORG
2,上周,DATE
2,千,CARDINAL
2,金控,ORG
2,金控總股東,NORP
2,約萬,CARDINAL
2,三個月,DATE
2,去年底,DATE
2,近萬,CARDINAL
2,金控,ORG
2,兆豐金,ORG
2,萬,CARDINAL
2,第金,GPE
2,合庫,ORG
2,四,CARDINAL
2,中台企銀,ORG
2,上周,DATE
2,萬,CARDINAL
2,數萬,CARDINAL
2,金控,ORG
2,開發金,ORG
2,金控,ORG
2,鴻海,ORG
2,萬,CARDINAL
2,第三,ORDINAL
2,台積電,ORG
2,中鋼,ORG
2,百萬,CARDINAL
2,玉山金,ORG
2,今年,DATE
2,萬多,CARDINAL
2,萬,CARDINAL
2,今年,DATE
2,第二,ORDINAL
2,中信金,ORG
2,周大增,PERSON
2,萬,CARDINAL
2,國泰金,ORG
2,金控,ORG
2,三,CARDINAL
2,萬,CARDINAL
2,國泰金,ORG
2,今年,DATE
2,萬,CARDINAL
2,萬,CARDINAL
2,上周,DATE
2,金玉山金,ORG
2,中信金,ORG
2,元大金,ORG
2,永豐金家,ORG
2,萬,CARDINAL
2,上周,DATE
2,去年月,DATE
2,台灣,GPE
2,百萬,CARDINAL
2,今年,DATE
2,國票金,ORG
3,台積電,ORG
3,八方雲集,ORG
3,美國,GPE
3,美國人,NORP
3,英國人,NORP
3,梁社漢,PERSON
3,八方雲集,ORG
3,鼎泰豐顆元,PRODUCT
3,八,CARDINAL
4,台灣證交所,ORG
4,緯創,ORG
4,飛宏,ORG
4,華邦,ORG
4,京元電子,ORG
4,宏達電,ORG
4,臺企銀,ORG
4,中石化,ORG
4,英業達,ORG
4,漢翔,ORG
4,華孚,ORG
4,奇鋐,ORG
4,日月光投控,ORG
4,威盛,ORG
4,盛達,ORG
4,永冠,ORG
4,大亞,ORG
4,聯電,ORG
4,敦泰,GPE
4,中華電,ORG
4,技嘉,ORG
4,康舒,ORG
4,中信,ORG
4,中國,GPE
4,富邦,ORG
4,北極星藥業,ORG
4,亞太,ORG
4,友達,ORG
4,堤維西,ORG
4,金像,ORG
4,寶成,ORG
4,裕隆,ORG
4,精元,PRODUCT
4,欣興,ORG
4,愛普,PERSON
4,金橋,GPE
4,中工,ORG
4,開發金,ORG
4,東森,ORG
4,南茂,ORG
4,天鈺,ORG
4,中化,ORG
4,中信,ORG
4,華夏,ORG
4,耿鼎,ORG
4,國泰金,ORG
4,新光金,ORG
4,元大滬,PERSON
4,華新,ORG
4,富邦金,ORG
4,中信金,ORG
4,鴻海,PERSON
4,群創,ORG
4,遠東,GPE
4,長榮,PERSON
4,陽明,PERSON
4,中鴻,ORG
4,第金,ORDINAL
4,國泰,ORG
4,玉山金,ORG
4,遠東銀,ORG
4,仁寶,ORG
4,元大,ORG
4,台灣,GPE
4,華南金,ORG
4,富邦恒,PERSON
4,中鋼,ORG
4,新唐,PERSON
4,智原,ORG
4,永豐金,ORG
4,國票金,ORG
4,總太,ORG
4,大成鋼,ORG
4,彰銀,ORG
4,台積電,ORG
4,富邦,ORG
4,彩晶,ORG
4,香港,GPE
4,眾達,ORG
4,普安,PERSON
4,華航,ORG
4,中信,ORG
4,中國,GPE
4,台橡,ORG
4,台塑,ORG
4,富邦,ORG
4,廣達,ORG
4,台聚,ORG
4,中信電池,ORG
4,佳龍,PERSON
4,南亞,LOC
5,審計委員會,ORG
5,仟元,MONEY
5,月日,DATE
5,仟元,MONEY
5,月日,DATE
5,月日,DATE
5,仟元,MONEY
5,月日,DATE
5,損仟元,MONEY
5,月日,DATE
5,仟元,MONEY
5,仟元,MONEY
5,新台幣元,MONEY
5,台積電,ORG
5,今年,DATE
6,八,CARDINAL
6,元大,ORG
6,台灣,GPE
6,威盛,ORG
6,緯創,ORG
6,聯電,ORG
6,中信金,ORG
6,京元電子,ORG
6,華邦,ORG
6,華航,ORG
6,元大,ORG
6,日月光投控,ORG
6,三商壽,PERSON
6,宏碁,ORG
6,十銓,PERSON
6,漢翔,ORG
6,元大,ORG
6,台灣,GPE
6,凌群,PERSON
6,兆豐金,PERSON
6,大聯大,ORG
6,國泰,ORG
6,欣興,ORG
6,元大,ORG
6,元大滬,ORG
6,華孚,ORG
6,堤維西,ORG
6,華電網,ORG
6,元大,ORG
6,和益,ORG
6,英業,ORG
6,裕隆,ORG
6,大江,PERSON
6,千如,PERSON
6,台泥,ORG
6,統實,PERSON
6,精剛,ORG
6,愛普,PERSON
6,毅嘉,ORG
6,永冠,ORG
6,金寶,ORG
6,新唐,PERSON
6,敦泰,PERSON
6,東浦,PERSON
6,富邦ＮＡＳＤＡＱ,ORG
6,中工,ORG
6,奇鋐,ORG
6,陽明,ORG
6,中華,GPE
6,十銓,PERSON
6,凌群,PERSON
6,華電網,ORG
6,威盛,ORG
6,聯電,ORG
6,愛普,PERSON
6,今天,DATE
6,八,CARDINAL
6,台積電,ORG
6,台積電,ORG
6,當天,DATE
6,台積電,ORG
6,禮拜五,DATE
6,台積電,ORG
6,今天,DATE
7,台積電,ORG
7,敦泰,ORG
7,去年,DATE
7,第三季,DATE
7,敦泰,PERSON
7,那天,DATE
7,今天,DATE
7,今天,DATE
7,明天,DATE
8,年月日,DATE
8,臺灣證券交易所證券櫃檯買賣中心公司,ORG
8,年月日,DATE
8,前日,DATE
8,今日,DATE
8,金額仟元,MONEY
8,元大,ORG
8,台灣,GPE
8,元大滬,ORG
8,台積電,ORG
8,聯電,ORG
8,炎洲,ORG
8,華城,GPE
8,潤泰,ORG
8,茂迪,ORG
9,台積電,ORG
9,台積電,ORG
9,這幾天,DATE
9,大嘉信證券,FAC
9,昨天,DATE
9,昨天,DATE
9,今天,DATE
9,嘉信哥,PERSON
9,美股,NORP
9,旦,PERSON
9,嘉信哥,PERSON
10,台積電,ORG
10,半年來,DATE
10,年三年,DATE
11,宣明智,PERSON
11,台設計市,GPE
11,台灣,GPE
11,年月日週二上午,TIME
11,周刊王,PERSON
11,李宜儒,PERSON
11,台積電,ORG
11,張忠謀,PERSON
11,台,GPE
11,經濟部長,ORG
11,啟銘,PERSON
11,美,NORP
11,中,GPE
11,台灣,GPE
